,ID,Name,Rateper1000(₹),Min/Maxorder,Description
0,2146,  📣Instagram Followers [2K] Through ADS - Real  ,  ₹2310  ,1 / 1, Details 
1,2143,  📣Instagram Followers [5K] Through ADS - Real  ,  ₹3072.3  ,1 / 1, Details 
2,2144,  📣Instagram Followers [7K] Through ADS - Real  ,  ₹4273.5  ,1 / 1, Details 
3,2145,  📣Instagram Followers [10K] Through ADS - Real  ,  ₹5386.2  ,1 / 1, Details 
4,2147,  📣Instagram Followers [25K] Through ADS - Real  ,  ₹30800  ,1 / 1, Details 
5,2148,  🇮🇳Instagram follower 99% Real Indian🇮🇳 [No Refill]  ,  ₹138.6  ,100 / 5000, Details 
6,2155,  Instagram 🇷🇺Russian Followers - Russian- No refill  ,  ₹177.1  ,100 / 10000, Details 
7,2150,  🇮🇩Instagram Followers [INDONESIA] [12H - 500/Day]  ,  ₹388.1  ,100 / 1000, Details 
8,2152,  🇧🇷 Instagram Followers [BRAZIL][No Refill]  ,  ₹519.8  ,10 / 1000, Details 
9,2156,  Instagram 🇧🇷 Brazil Followers ⚡🌟⚡Very Less drop - No refill  ,  ₹716.5  ,25 / 5000, Details 
10,2151,  ♻🇧🇷Instagram Followers [BRAZIL] [R30] [SLOW] ♻  ,  ₹831.7  ,100 / 10000, Details 
11,2153,  🇧🇷 Instagram Followers [BRAZIL - MALE] [1K] [1H - INSTANT]  ,  ₹912.5  ,25 / 1000, Details 
12,2154,  🇧🇷 Instagram Followers [BRAZIL][ FEMALE] 🙆‍♀️  ,  ₹912.5  ,25 / 1000, Details 
13,2159,  ✅Instagram Followers[R15] [3k/day]  ,  ₹55  ,1 / 30000, Details 
14,2160,  🔥 Instagram followers [3k/ Day][R30]  ,  ₹175  ,50 / 15000, Details 
15,2163,  🎊⚡️ Instagram followers [R30] - 0-30% Drop  ,  ₹200  ,25 / 50000, Details 
16,2161,  🐼✅Instagram Real Followers [NON-DROP AR30 ]⚡️  ,  ₹225  ,50 / 30000, Details 
17,2157,  ⚡♻️Instagram Followers [Best Service - Refill ] [50k]  ,  ₹235  ,50 / 50000, Details 
18,2158,  ♻️Instagram Followers [Best Service- Autorefill ] [50k]  ,  ₹250  ,50 / 50000, Details 
19,2162,  🔥Instagram Followers R30 ( Real ) 0-15% DROP  ,  ₹305  ,50 / 15000, Details 
20,2167,  🔥🌟IG Cheapest Followers In the Market 🔥  ,  ₹22.1  ,20 / 10000, Details 
21,2164,  💧IG Followers 15k Max - No refill ( Cancel anytime )  ,  ₹35  ,30 / 8000, Details 
22,2166,  🔥IG followers 10k Max - Bot accounts  ,  ₹40  ,20 / 10000, Details 
23,2165,  🔥IG Followers Real & Mixed. NR  ,  ₹55  ,30 / 8000, Details 
24,2168,  ♦️ Instagram Real Followers - Slow delivery but good quality  ,  ₹60  ,50 / 5000, Details 
25,2169,  💪IG SuperFast ⚡️ Followers - Less drops 💪  ,  ₹75.6  ,50 / 2500, Details 
26,2171,  💫IG Likes - Natural Speed - Real Likes  ,  ₹47.9  ,50 / 50000, Details 
27,2170,  💥IG Instant Likes ( Asian accounts ) Real accounts  ,  ₹58.8  ,50 / 20000, Details 
28,2173,  ♳ IG Likes R30 ( One time refill )  ,  ₹64.7  ,10 / 100000, Details 
29,2172,  🐢IG Likes Slow - Real Accounts.  ,  ₹67.2  ,50 / 5000, Details 
